open,high,low,close,tick_volume
0.84016,0.84032,0.83896,0.83898,941
0.83899,0.8401,0.83756,0.8387,727
0.83867,0.83927,0.83829,0.83886,913
0.83885,0.84063,0.83851,0.84037,1227
0.84036,0.84093,0.83918,0.84022,1537
0.84026,0.84128,0.84007,0.8406,1663
0.84057,0.84059,0.83818,0.83867,1278
0.83869,0.83914,0.83827,0.83865,1317
0.83866,0.8395,0.83863,0.83927,1403
0.83928,0.84099,0.83778,0.83974,1990
0.83973,0.84158,0.83926,0.8404,2647
0.84043,0.84121,0.83977,0.84027,2375
0.84025,0.84433,0.84017,0.84382,2411
0.84381,0.84476,0.84244,0.84294,1878
0.843,0.84473,0.8424,0.84469,1686
0.84469,0.84568,0.8443,0.84502,1863
0.845,0.84618,0.84403,0.84475,2516
0.84479,0.84696,0.84372,0.84386,3803
0.84385,0.84556,0.84182,0.84467,3992
0.84469,0.8453,0.84176,0.84236,2797
0.84235,0.84272,0.84029,0.84049,2327
0.84049,0.84238,0.84027,0.8416,1791
0.84155,0.84195,0.83971,0.84046,1909
0.8405,0.842,0.84022,0.84134,1516
0.84136,0.84209,0.8394,0.84091,978
0.84228,0.84228,0.83969,0.83972,688
0.83968,0.84224,0.83964,0.84167,891
0.84164,0.84418,0.84146,0.84408,1780
0.84405,0.8441,0.84029,0.84133,2010
0.84135,0.84215,0.83985,0.84021,1615
0.84024,0.84065,0.838,0.8395,1623
0.83951,0.8405,0.83895,0.83909,1594
0.8391,0.83992,0.8385,0.83905,1547
0.83905,0.83945,0.83665,0.83696,2015
0.83695,0.83855,0.83654,0.8383,1815
0.83827,0.83933,0.83691,0.83918,1583
0.83922,0.83935,0.83814,0.83932,1083
0.8393,0.83932,0.83721,0.83721,965
0.8372,0.83787,0.83611,0.83614,1387
0.83613,0.83657,0.83385,0.83647,2218
0.83649,0.83769,0.83495,0.83661,2877
0.83656,0.84309,0.83613,0.84309,3191
0.84311,0.84376,0.84148,0.84368,2603
0.84373,0.84522,0.84247,0.84256,1749
0.84255,0.84335,0.8418,0.84305,1513
0.84303,0.844,0.84199,0.84295,1596
