open,high,low,close,tick_volume
1.42654,1.4275,1.42551,1.42554,2320
1.4255,1.42816,1.4254,1.42773,2302
1.42774,1.42818,1.42469,1.4256,3678
1.42561,1.42611,1.42302,1.42302,3839
1.42302,1.42408,1.42217,1.42258,3872
1.42257,1.42748,1.42252,1.4271,3338
1.42713,1.42787,1.4261,1.42664,2502
1.42665,1.42774,1.42571,1.42749,2168
1.42748,1.44049,1.4274200000000001,1.43697,4020
1.43698,1.43764,1.4351,1.43574,2437
1.4357199999999999,1.43631,1.43407,1.43407,1447
1.4341,1.4353500000000001,1.4340899999999999,1.43478,894
1.43481,1.43563,1.43471,1.43491,1081
1.43489,1.43762,1.4346700000000001,1.43693,1540
1.43692,1.4375499999999999,1.43568,1.43636,2168
1.4364,1.43716,1.43606,1.43655,1478
1.43658,1.43692,1.4354,1.4361,1763
1.43609,1.43649,1.43524,1.43557,1542
1.43556,1.4362,1.43525,1.4362,1415
1.43619,1.4367,1.43523,1.43602,1901
1.43593,1.43621,1.4329,1.4329,3165
1.4329,1.4344999999999999,1.43251,1.43311,3041
1.43313,1.43586,1.4331,1.43561,2829
1.4356200000000001,1.43668,1.43444,1.43513,2556
1.43516,1.4359,1.43392,1.43542,2357
1.43543,1.43749,1.4351099999999999,1.437,2519
1.43697,1.43698,1.43452,1.43529,3080
1.4353,1.4388,1.43529,1.43736,4087
1.43736,1.43737,1.43505,1.43733,4082
1.43734,1.43844,1.43469,1.43564,3219
1.43563,1.43631,1.43214,1.43269,2893
1.43268,1.43519,1.43251,1.43436,2025
1.43433,1.43433,1.42811,1.4285999999999999,2536
1.42862,1.4302000000000001,1.42854,1.42997,1657
1.42997,1.43059,1.42997,1.43022,965
1.43076,1.43089,1.42819,1.42838,1115
1.42839,1.43094,1.4283000000000001,1.43026,1313
1.43029,1.43129,1.42885,1.4312,2013
1.43115,1.43115,1.42903,1.43061,2086
1.43063,1.4310800000000001,1.42902,1.42913,1395
1.42912,1.43005,1.42804,1.42866,1443
1.42871,1.42884,1.42764,1.42807,1358
1.42809,1.42895,1.4278,1.42824,1696
1.42822,1.42828,1.4255900000000001,1.42626,2600
1.4262299999999999,1.42871,1.42609,1.42795,2275
1.4279899999999999,1.42984,1.42751,1.42901,1955
1.429,1.42932,1.42854,1.42912,1575
1.42911,1.42958,1.42776,1.42776,1277
1.42777,1.42875,1.4268399999999999,1.42758,1589
1.42752,1.42885,1.4262000000000001,1.42879,2249
1.42886,1.42945,1.4275,1.42907,2810
1.42906,1.43654,1.4287,1.4350100000000001,3645
1.43496,1.43542,1.43336,1.43522,2504
1.43525,1.43668,1.4341,1.43418,1837
1.43415,1.4344999999999999,1.4327,1.4344299999999999,1672
1.43444,1.43468,1.43247,1.43292,1516
1.4329399999999999,1.43367,1.4315,1.43351,1717
1.43361,1.43427,1.43326,1.43326,1117
1.4332799999999999,1.4336,1.4325700000000001,1.43311,778
1.4331,1.4338,1.4329,1.4336,587
1.4336,1.4342,1.4335,1.4335,617
1.4335,1.4342,1.4321,1.4322,1152
1.432,1.4338,1.432,1.4333,1616
1.4334,1.4335,1.433,1.4333,934
1.4333,1.4355,1.4333,1.4354,1294
1.4354,1.4357,1.4342,1.4348,1822
1.4349,1.4359,1.4348,1.4357,1821
1.4357,1.4376,1.4357,1.4363000000000001,2517
1.4363000000000001,1.4372,1.4353,1.4365999999999999,2695
1.4365999999999999,1.4365999999999999,1.4329,1.4349,3190
1.435,1.4351,1.4325,1.4334,1973
1.4334,1.4336,1.4287,1.4287,2340
1.4287,1.431,1.4285999999999999,1.4309,2154
1.4309,1.4324,1.4298,1.4303,2629
1.4302000000000001,1.4332,1.4289,1.4323000000000001,3442
1.4323000000000001,1.4343,1.43,1.4303,3919
1.4303,1.4308,1.4221,1.4233,4315
1.4233,1.4238,1.4213,1.423,3133
1.4231,1.4234,1.4177,1.4208,3168
1.4208,1.4215,1.4191,1.4212,2542
1.4211,1.4224999999999999,1.4203000000000001,1.4217,2312
1.4216,1.4224999999999999,1.4213,1.4224,1210
1.4222000000000001,1.4222000000000001,1.4211,1.4218,810
1.4219,1.4221,1.4216,1.4218,698
