open,high,low,close,tick_volume
0.68707,0.6874,0.68561,0.6864,2014
0.68637,0.68808,0.68609,0.68808,1726
0.68809,0.68837,0.68721,0.68732,1053
0.68735,0.68751,0.68486,0.68503,1303
0.68495,0.68601,0.68462,0.68543,942
0.68545,0.68607,0.68442,0.68486,998
0.68489,0.68576,0.68449,0.68483,709
0.68479,0.68501,0.68416,0.68428,1268
0.68427,0.6852,0.68355,0.684,709
0.68406,0.6848,0.6838,0.6848,648
0.68479,0.68524,0.68424,0.6843,652
0.68429,0.68511,0.68339,0.68415,1064
0.68422,0.68456,0.68359,0.6842,899
0.68424,0.68587,0.68415,0.68538,1046
0.68543,0.68555,0.68491,0.6854,577
0.68541,0.6855,0.68413,0.68423,947
0.68422,0.6856,0.68327,0.68401,1513
0.68403,0.68563,0.68377,0.68495,1879
0.68497,0.68632,0.68485,0.68528,1421
0.68525,0.68649,0.685,0.68559,1320
0.68567,0.68631,0.68547,0.68554,1032
0.68555,0.68849,0.68525,0.68722,1384
0.68724,0.68937,0.68632,0.68872,1603
0.6887,0.68952,0.68764,0.68791,2432
0.68793,0.68943,0.68556,0.68651,2832
0.68652,0.68706,0.6856,0.68577,1678
0.68572,0.6867,0.68438,0.68439,1187
0.6844,0.68514,0.68385,0.68415,931
0.68412,0.68444,0.68385,0.68413,846
0.68412,0.68433,0.6839,0.68417,693
0.68418,0.68431,0.68378,0.68393,705
0.68391,0.68443,0.68351,0.68403,582
0.68412,0.68442,0.68384,0.684,564
0.68403,0.68432,0.68259,0.68291,944
0.68296,0.68421,0.68296,0.68402,827
0.68401,0.6852,0.68355,0.6844,774
0.68439,0.68579,0.68432,0.68579,666
0.68583,0.68705,0.68538,0.68672,880
0.68684,0.68712,0.68635,0.68656,860
0.68657,0.68796,0.68611,0.68764,1351
0.68762,0.68824,0.68632,0.68645,1497
0.6865,0.68874,0.68641,0.68874,1560
0.68881,0.68922,0.68606,0.68663,1590
0.68668,0.6877,0.68632,0.68681,1436
0.68684,0.68745,0.6837,0.68451,1415
0.68433,0.68433,0.68191,0.68352,2026
0.6835,0.68429,0.68187,0.68307,1720
0.68305,0.68331,0.67868,0.67947,2648
0.67943,0.68228,0.67933,0.68224,3191
0.68225,0.68232,0.6791,0.67959,1937
0.67956,0.68117,0.67896,0.68113,1287
0.6811,0.68117,0.67925,0.68097,1078
0.68098,0.68163,0.68026,0.68076,920
0.68067,0.68103,0.68023,0.68061,1018
0.68062,0.68141,0.68048,0.68126,545
0.68125,0.68143,0.67972,0.68056,539
0.68057,0.68154,0.6804,0.68118,701
0.68122,0.68153,0.67966,0.68023,1123
0.68025,0.68108,0.67867,0.67891,1055
0.67892,0.68009,0.67838,0.67889,1374
0.67892,0.67988,0.67847,0.67907,827
0.6791,0.67949,0.67805,0.67864,821
0.67862,0.67976,0.67832,0.67914,1052
0.67912,0.67918,0.67799,0.67876,1062
