open,high,low,close
1.0598,1.0606,1.0593,1.0602
1.0603,1.0608,1.06,1.0607
1.0605,1.0612,1.0601,1.061
1.0611,1.0631,1.061,1.0625
1.0626,1.0627,1.0604,1.0612
1.0613,1.0621,1.0605,1.061
1.0611,1.0615,1.0606,1.0611
1.0612,1.0622,1.0607,1.0621
1.0622,1.0627,1.0614,1.062
1.0619,1.0635,1.0612,1.0617
1.0618,1.0626,1.0614,1.0617
1.0618,1.062,1.0555,1.0569
1.057,1.0579,1.0567,1.0569
1.0568,1.0578,1.0558,1.0577
1.0578,1.0592,1.0577,1.0579
1.058,1.0596,1.0577,1.0594999999999999
1.0594,1.0604,1.0587,1.0588
1.0589,1.059,1.0581,1.0589
1.0588,1.0596,1.0588,1.0592
1.059,1.059,1.0584,1.0585
1.0586,1.0586,1.0581,1.0583
1.0584,1.0597,1.0582,1.0596
1.0597,1.0598,1.0586,1.0588
1.0588,1.059,1.0587,1.0588
1.0587,1.0588,1.0573,1.0573
1.0573,1.0579,1.0571,1.0577
1.0576,1.0576,1.056,1.056
1.056,1.0562,1.0543,1.0561
1.0559,1.0566,1.0553,1.0558
1.0558,1.058,1.0557,1.0559
1.0558,1.0582,1.0557,1.0575
1.0574,1.0603,1.0572,1.0603
1.0604,1.0605,1.0588,1.059
1.059,1.0598,1.0575,1.0593
1.0593,1.0605,1.0573,1.0574
1.0574,1.0594,1.0567,1.059
1.059,1.066,1.0587,1.0654
1.0652,1.0664,1.0649,1.0653
1.0652,1.0703,1.0646,1.0668
1.0669,1.068,1.0658,1.066
1.0661,1.0666,1.0649,1.0656
1.0657,1.0661,1.0649,1.0652
1.0653,1.0662,1.0653,1.0655000000000001
1.0654,1.0656,1.0653,1.0655000000000001
1.0655000000000001,1.0667,1.0649,1.0663
1.0664,1.0677,1.0659,1.0674
1.0674,1.0675,1.066,1.0663
1.0663,1.0667,1.0658,1.0663
1.0663,1.0666,1.0657,1.066
1.066,1.0671,1.0653,1.0667
1.0667,1.0669,1.0656,1.0657
1.0655000000000001,1.0663,1.0648,1.0649
1.065,1.068,1.0647,1.0676
1.0676,1.0677,1.0654,1.0657
1.0658,1.0672,1.0658,1.0663
1.0662,1.0666,1.0652,1.0663
1.0664,1.067,1.0649,1.0668
1.0668,1.0678,1.0656,1.0666
1.0666,1.0684,1.0663,1.0667
1.0666,1.0677,1.0634,1.0637
1.0636,1.0647,1.0616,1.0627
1.0627,1.0628,1.058,1.0585
1.0585,1.0606,1.0584,1.0598
1.0599,1.0607,1.0592,1.0603
1.0603,1.0605,1.0589,1.0603
1.0602,1.0607,1.0601,1.0607
1.0607,1.0611,1.0604,1.061
1.0611,1.0611,1.0601,1.0603
1.0603,1.0603,1.0598,1.0602
1.0601,1.0611,1.0601,1.061
1.061,1.0619,1.0605,1.0608
1.0608,1.061,1.0601,1.0602
1.0601,1.0605,1.0598,1.0603
1.0603,1.0605,1.0599,1.0604
1.0604,1.0612,1.0602,1.0611
1.061,1.061,1.0588,1.0591
1.0592,1.0605,1.0583,1.0599
1.0599,1.0603,1.0583,1.0585
1.0584,1.0596,1.0583,1.0585
1.0585,1.0587,1.057,1.0582
1.0581,1.0583,1.0545,1.0567
1.0568,1.0592,1.0555,1.059
1.0591,1.0604,1.0588,1.0596
1.0596,1.0628,1.0589,1.0609
1.0609,1.061,1.0596,1.0597
1.0597,1.0613,1.0597,1.061
1.0611,1.0621,1.0601,1.0612
1.0612,1.0635,1.061,1.0624
1.0625,1.0629,1.0613,1.0626
1.0626,1.0626,1.0617,1.0623
1.0624,1.0624,1.0617,1.0618
1.0618,1.0621,1.0616,1.062
1.062,1.0622,1.0617,1.0621
1.062,1.0623,1.0617,1.0623
1.0622,1.0632,1.0622,1.0627
1.0626,1.0634,1.0624,1.063
1.063,1.063,1.0624,1.0625
1.0625,1.0626,1.0617,1.0621
1.0622,1.0625,1.061,1.061
1.061,1.0618,1.0598,1.0599
1.0598,1.0622,1.0596,1.0621
1.062,1.0623,1.0608,1.0612
1.0612,1.0627,1.0612,1.0625
1.0626,1.0633,1.0623,1.0625
1.0625,1.063,1.0616,1.0627
1.0627,1.0672,1.0614,1.0667
1.0668,1.0697,1.0667,1.0685
1.0685,1.0686,1.0657,1.0659
1.0659,1.0666,1.0612,1.0613
1.0613,1.0616,1.0577,1.0597
1.0596,1.0602,1.0578,1.0593
1.0594,1.0606,1.0586,1.0603
1.0603,1.061,1.0601,1.0602
1.0603,1.0615,1.0598,1.0605
