open,high,low,close,tick_volume
94.16,94.22,94.12,94.18,280
94.17,94.28,94.17,94.26,188
94.25,94.29,94.19,94.24,256
94.23,94.27,94.21,94.26,161
94.25,94.25,94.07,94.1,293
94.11,94.15,93.88,93.93,429
93.94,93.96,93.81,93.86,425
93.87,93.97,93.81,93.86,321
93.87,93.87,93.59,93.64,311
93.63,93.75,93.63,93.74,300
93.73,93.76,93.59,93.74,475
93.73,93.79,93.38,93.56,716
93.55,93.69,93.5,93.68,604
93.69,93.77,93.63,93.68,585
93.69,93.75,93.62,93.74,423
93.73,93.76,93.62,93.71,396
93.7,93.74,93.64,93.68,324
93.69,93.95,93.57,93.84,724
93.83,93.89,93.6,93.66,638
93.65,93.68,93.46,93.53,677
93.52,93.63,93.52,93.58,361
93.57,93.69,93.56,93.61,318
93.6,93.74,93.59,93.68,340
93.69,93.73,93.23,93.48,638
93.49,93.59,93.37,93.52,386
93.51,93.58,93.47,93.52,241
93.53,93.57,93.43,93.46,310
93.47,93.58,93.44,93.56,248
93.57,93.73,93.51,93.65,311
93.66,93.86,93.65,93.77,401
93.76,93.79,93.66,93.7,289
93.71,93.71,93.61,93.66,300
93.67,93.75,93.65,93.7,308
93.69,93.74,93.67,93.67,239
93.68,93.77,93.66,93.74,321
93.73,93.97,93.69,93.95,600
93.94,93.96,93.83,93.92,480
93.91,94.07,93.87,93.99,481
94.0,94.01,93.87,93.88,313
93.89,93.97,93.86,93.88,295
93.87,93.89,93.73,93.81,347
93.82,93.91,93.76,93.81,589
93.82,93.88,93.51,93.56,699
93.55,93.63,93.47,93.47,556
93.48,93.6,93.43,93.56,386
93.55,93.64,93.52,93.57,309
93.58,93.6,93.52,93.54,198
93.55,93.67,93.55,93.62,299
93.61,93.63,93.55,93.58,254
93.57,93.65,93.57,93.59,212
93.51,93.52,93.27,93.36,259
93.37,93.52,93.33,93.39,332
93.4,93.45,92.68,92.89,618
92.9,92.91,92.57,92.75,631
92.76,92.78,92.65,92.67,317
92.68,92.69,92.55,92.67,351
92.66,92.79,92.61,92.72,330
92.71,92.87,92.64,92.83,488
92.82,92.83,92.66,92.77,318
92.78,92.83,92.73,92.78,312
92.77,93.06,92.77,93.0,288
93.01,93.1,92.97,92.98,324
92.99,93.11,92.92,93.07,264
93.08,93.31,93.07,93.22,378
93.23,93.32,93.16,93.19,432
93.18,93.18,92.92,92.99,573
92.98,92.98,92.7,92.77,510
92.75,92.89,92.72,92.83,404
92.82,92.84,92.76,92.83,227
92.82,93.02,92.82,92.96,195
92.95,93.01,92.93,92.99,162
93.0,93.12,92.95,93.05,225
93.06,93.21,93.02,93.11,293
93.13,93.15,92.95,92.98,263
92.97,92.97,92.87,92.95,949
92.94,93.03,92.87,92.88,1080
92.87,93.09,92.84,93.04,2189
93.05,93.18,93.04,93.13,1968
93.13,93.15,93.01,93.07,1515
93.07,93.14,93.05,93.12,1365
93.12,93.14,92.99,93.02,1760
93.02,93.1,93.02,93.04,1732
93.04,93.24,93.02,93.23,2342
93.24,93.35,93.17,93.24,2691
93.25,93.29,93.06,93.15,3209
93.15,93.16,93.06,93.07,1908
93.07,93.16,93.06,93.16,1787
93.17,93.18,93.09,93.09,1925
93.1,93.15,92.94,92.98,2283
92.98,93.18,92.92,93.08,2804
93.07,93.41,93.07,93.09,3603
93.09,93.15,92.93,93.08,3765
93.09,93.13,93.03,93.07,2154
93.07,93.12,92.95,93.05,2434
93.04,93.05,92.9,92.92,2138
92.92,92.97,92.81,92.85,2088
92.86,92.95,92.83,92.9,1408
92.9,92.92,92.82,92.92,1029
92.93,92.97,92.77,92.78,1070
92.78,92.81,92.52,92.7,1956
92.7,92.81,92.64,92.81,2256
92.82,92.99,92.76,92.9,2484
92.9,92.92,92.83,92.88,1758
92.88,92.89,92.76,92.76,1449
92.76,92.88,92.76,92.84,1387
92.84,92.9,92.8,92.86,1756
92.86,93.04,92.84,92.94,2610
92.94,92.98,92.61,92.63,3006
92.64,92.75,92.38,92.67,3216
92.68,92.7,92.57,92.62,2330
92.62,92.73,92.62,92.71,1740
92.71,92.72,92.47,92.54,2162
92.54,92.63,92.23,92.37,3623
92.37,92.6,92.3,92.51,3456
92.51,92.6,92.39,92.47,3533
92.47,92.48,92.31,92.42,2411
92.42,92.42,92.11,92.12,2219
92.13,92.26,92.11,92.26,1662
92.26,92.33,92.13,92.16,1796
92.15,92.18,92.1,92.14,1616
92.13,92.2,92.12,92.19,1068
92.2,92.25,92.2,92.22,725
92.23,92.26,92.09,92.12,683
92.11,92.26,92.11,92.21,1133
92.21,92.26,91.94,92.11,2460
92.12,92.22,92.09,92.19,1984
92.18,92.27,92.14,92.23,1396
92.22,92.36,92.22,92.29,1639
92.29,92.31,92.2,92.25,1494
92.25,92.39,92.2,92.36,1802
92.36,92.45,92.3,92.34,2529
92.34,92.49,92.26,92.42,2893
92.41,92.41,92.27,92.36,2587
92.37,92.55,92.36,92.43,2095
92.42,92.48,92.34,92.48,1723
92.47,92.51,92.34,92.43,2099
92.43,92.5,92.33,92.47,2863
92.47,92.6,92.44,92.55,2979
92.55,92.65,92.47,92.51,3488
92.51,92.57,92.51,92.54,2215
92.53,92.54,92.45,92.53,1380
92.53,92.56,92.45,92.56,1353
92.55,92.62,92.53,92.53,1280
92.53,92.77,92.53,92.71,1345
92.71,92.71,92.58,92.62,1037
92.62,92.63,92.58,92.6,674
92.59,92.74,92.53,92.74,819
92.74,92.74,92.66,92.68,1091
92.69,92.69,92.59,92.69,1611
92.69,92.7,92.51,92.66,1778
92.66,92.66,92.54,92.57,1526
92.57,92.64,92.52,92.6,1324
92.59,92.67,92.57,92.57,1448
92.58,92.62,92.56,92.6,1459
92.6,92.64,92.58,92.61,1773
92.61,92.85,92.59,92.85,2310
92.86,92.86,92.73,92.78,1962
92.79,92.88,92.77,92.83,1650
92.82,92.84,92.77,92.79,1345
92.78,92.88,92.77,92.85,1617
92.85,93.23,92.29,92.96,3756
92.96,92.98,92.79,92.85,3460
92.85,92.92,92.83,92.91,2439
92.92,92.93,92.75,92.75,1822
92.75,92.95,92.69,92.93,2233
92.94,93.06,92.94,93.0,1687
92.99,93.02,92.97,93.01,1216
93.0,93.03,92.98,93.0,1073
93.0,93.03,92.9,92.98,1351
92.95,93.1,92.95,93.09,1315
93.09,93.17,93.09,93.16,1201
93.15,93.18,93.03,93.09,1963
93.09,93.16,92.93,93.14,2177
93.13,93.18,93.1,93.15,1548
93.15,93.18,93.08,93.12,1146
93.12,93.17,93.11,93.14,998
93.15,93.17,93.11,93.17,1000
93.16,93.28,93.1,93.19,2365
93.2,93.23,93.12,93.22,2426
93.23,93.26,93.15,93.15,2255
93.15,93.17,92.98,93.0,2271
93.0,93.04,92.99,93.02,1347
93.02,93.02,92.92,93.0,1559
93.0,93.1,92.97,93.1,1512
93.09,93.11,92.93,92.98,1728
92.99,93.06,92.96,93.06,1257
93.06,93.06,92.93,92.98,1393
92.98,92.99,92.82,92.9,1581
92.89,92.93,92.85,92.91,623
92.9,93.03,92.87,92.96,673
92.96,93.0,92.95,92.96,688
92.95,93.07,92.95,93.05,627
93.06,93.08,92.99,93.02,679
93.02,93.07,92.99,93.0,960
92.98,93.01,92.91,92.92,852
92.92,92.97,92.83,92.89,2117
92.89,92.92,92.72,92.75,2001
92.74,92.83,92.73,92.79,1641
92.8,92.82,92.76,92.8,962
92.81,92.82,92.68,92.75,1612
92.75,92.83,92.68,92.8,1642
92.8,92.8,92.46,92.48,2958
92.47,92.56,92.27,92.36,2898
92.37,92.4,92.13,92.27,2726
92.27,92.36,92.06,92.1,2330
92.1,92.25,92.03,92.23,2123
92.23,92.31,92.15,92.23,2104
92.23,92.33,92.09,92.09,2333
92.09,92.32,92.05,92.22,2749
92.21,92.32,92.07,92.14,2690
92.15,92.22,92.05,92.22,2222
92.21,92.23,92.09,92.16,1763
92.16,92.23,92.07,92.13,1572
92.13,92.34,92.1,92.31,1561
92.3,92.31,92.18,92.22,1367
92.21,92.36,92.21,92.31,1045
92.31,92.35,92.28,92.28,964
92.28,92.29,92.24,92.26,845
92.26,92.33,92.24,92.31,1367
92.32,92.41,92.29,92.35,1619
92.34,92.42,92.33,92.4,2236
92.4,92.4,92.32,92.34,1492
92.34,92.34,92.26,92.29,1524
92.29,92.31,92.25,92.31,1136
92.31,92.34,92.28,92.32,1426
92.31,92.49,92.31,92.48,2515
92.48,92.58,92.44,92.49,2503
92.49,92.52,92.44,92.48,2075
92.48,92.54,92.42,92.53,1973
92.54,92.56,92.43,92.5,1677
92.51,92.54,92.33,92.35,1081
92.34,92.41,92.23,92.28,396
92.27,92.3,91.93,91.97,564
91.96,91.97,91.61,91.74,784
91.75,91.91,91.73,91.85,389
91.86,91.96,91.85,91.93,198
91.94,92.1,91.84,92.08,351
92.07,92.24,92.07,92.15,386
92.14,92.14,92.02,92.08,254
92.07,92.08,92.01,92.03,173
92.02,92.1,91.92,91.96,272
91.95,92.09,91.93,92.07,251
92.06,92.14,92.06,92.14,246
92.13,92.2,92.11,92.19,239
92.2,92.24,92.13,92.13,287
92.14,92.15,92.02,92.06,299
92.07,92.1,91.95,91.99,219
91.98,92.02,91.88,91.93,284
91.94,92.13,91.94,92.13,285
92.12,92.17,92.06,92.09,336
92.1,92.19,92.06,92.15,364
92.16,92.17,92.05,92.14,367
92.13,92.25,92.13,92.15,323
92.14,92.22,92.11,92.15,294
92.16,92.19,92.0,92.01,366
92.0,92.06,91.7,91.83,547
91.81,92.01,91.45,91.87,788
91.86,91.94,91.74,91.75,473
