open,high,low,close,tick_volume
6.0777,6.0881,6.0757,6.08,20
6.0702,6.0956,6.0615,6.0875,239
6.0877,6.0977,6.065,6.084,245
6.0838,6.0969,6.0775,6.088,187
6.0907,6.0983,6.0667,6.0719,272
6.073,6.08,6.056,6.07,130
6.069,6.076,6.058,6.0609,160
6.062,6.064,6.021,6.036,200
6.035,6.041,5.998,6.004,261
6.005,6.016,5.995,6.004,275
6.003,6.0069,5.99,5.99,113
5.995,6.018,5.994,6.015,32
6.019,6.039,6.0109,6.0109,37
6.016,6.02,6.016,6.017,7
6.014,6.02,5.992,6.005,14
6.013,6.013,6.01,6.01,4
6.013,6.013,6.01,6.01,2
6.009,6.009,6.0069,6.0069,3
6.0109,6.0109,6.01,6.01,2
6.013,6.015,6.008,6.0109,45
6.01,6.02,6.005,6.009,67
6.005,6.006,5.963,5.981,228
5.983,5.993,5.973,5.983,118
5.984,6.0,5.984,5.989,66
5.99,6.0,5.99,6.0,47
5.998,6.003,5.9859,5.987,77
5.9879999999999995,5.995,5.982,5.985,129
5.984,5.994,5.981,5.9859,131
5.987,6.0,5.963,6.0,125
5.9989,6.0,5.982,5.982,55
5.9859,5.987,5.978,5.979,10
5.978,5.993,5.976,5.982,20
5.981,5.998,5.981,5.998,17
5.993,6.005,5.9859,5.993,112
5.99,6.0019,5.99,6.001,80
5.99,6.0,5.99,6.0,3
6.001,6.003,6.0,6.003,3
6.008,6.008,6.003,6.003,3
6.004,6.004,6.004,6.004,1
6.003,6.005,6.003,6.005,3
6.006,6.008,6.003,6.004,10
6.003,6.0109,5.995,6.008,40
6.009,6.017,5.994,6.0,137
5.9969,5.998,5.974,5.99,134
5.991,6.014,5.99,6.008,155
6.006,6.019,6.006,6.01,94
6.0109,6.029,6.0109,6.023,110
6.024,6.027,6.006,6.012,162
6.0109,6.024,6.0109,6.022,150
6.023,6.044,6.023,6.031,177
6.03,6.049,6.03,6.04,187
6.038,6.0469,6.0259,6.03,155
6.031,6.035,6.021,6.024,49
6.03,6.04,6.025,6.033,48
6.035,6.035,6.021,6.021,20
6.022,6.035,6.019,6.021,20
6.022,6.0319,6.021,6.021,9
6.02,6.02,6.02,6.02,1
6.03,6.03,6.018,6.02,6
6.021,6.031,6.021,6.0259,6
6.027,6.027,6.027,6.027,1
6.024,6.045,6.024,6.04,18
6.038,6.06,6.035,6.059,59
6.058,6.068,6.054,6.062,65
6.06,6.071,6.051,6.054,176
6.053,6.071,6.048,6.064,231
6.0659,6.075,6.051,6.057,154
6.059,6.068,6.055,6.057,92
6.059,6.07,6.059,6.069,108
6.068,6.075,6.0609,6.063,110
6.064,6.0659,6.038,6.043,156
6.046,6.052,6.0319,6.039,176
6.042,6.0659,6.041,6.055,211
6.057,6.062,6.043,6.053,100
6.057,6.057,6.039,6.046,50
6.041,6.048,6.041,6.045,21
6.043,6.053,6.04,6.04,11
6.038,6.051,6.037,6.048,43
6.054,6.054,6.048,6.05,10
6.056,6.056,6.05,6.055,5
6.057,6.059,6.057,6.059,2
6.057,6.06,6.053,6.057,4
6.058,6.058,6.05,6.055,8
6.053,6.055,6.053,6.055,4
6.053,6.055,6.053,6.055,4
6.053,6.055,6.05,6.05,14
6.043,6.05,6.043,6.05,5
6.049,6.054,6.038,6.0469,64
6.042,6.051,6.04,6.049,57
6.051,6.056,6.046,6.048,63
6.0469,6.051,6.021,6.024,106
6.025,6.035,6.001,6.009,220
6.01,6.019,6.008,6.016,107
6.017,6.02,6.001,6.008,121
6.0069,6.008,5.982,5.985,232
5.987,6.0019,5.979,5.992,239
5.99,6.0019,5.983,5.985,231
5.984,5.9969,5.964,5.989,137
5.987,5.989,5.981,5.982,27
5.983,5.989,5.98,5.987,46
5.9859,5.992,5.974,5.974,37
5.971,5.987,5.969,5.97,36
5.969,5.981,5.966,5.971,36
5.977,5.977,5.976,5.977,7
5.976,5.978,5.976,5.977,20
5.978,5.98,5.977,5.979,6
5.98,5.98,5.98,5.98,1
5.981,5.981,5.981,5.981,1
5.98,5.981,5.98,5.981,2
5.982,5.982,5.982,5.982,1
5.984,5.989,5.982,5.987,11
5.9879999999999995,5.9969,5.987,5.992,52
5.991,5.992,5.97,5.973,63
5.9719999999999995,6.004,5.969,5.9989,295
5.998,6.004,5.989,6.001,166
6.0,6.022,5.9989,6.017,99
6.018,6.019,6.01,6.014,42
6.013,6.013,5.992,6.0,110
6.006,6.0109,5.975,5.984,110
5.987,5.998,5.982,5.99,101
5.989,6.0019,5.982,5.995,163
5.998,5.998,5.981,5.992,51
5.993,6.0019,5.993,5.9989,56
6.0,6.014,5.9969,6.003,77
6.005,6.013,5.9989,5.9989,49
5.998,6.006,5.9969,5.9989,18
5.9962,6.0118,5.9939,5.9985,121
6.008,6.009,6.0,6.008,19
6.006,6.006,5.98,5.98,17
5.979,5.982,5.979,5.979,3
5.971,5.976,5.955,5.958,64
5.959,5.97,5.951,5.958,80
5.9559999999999995,5.987,5.954,5.984,39
5.981,5.985,5.977,5.982,31
5.983,5.9859,5.958,5.976,76
5.974,5.978,5.971,5.971,87
5.9719999999999995,5.9859,5.968,5.97,183
5.9719999999999995,5.973,5.9569,5.958,71
5.959,5.97,5.9559999999999995,5.969,85
5.968,5.971,5.9569,5.961,172
5.9619,5.971,5.959,5.969,87
5.968,5.976,5.964,5.97,197
5.971,5.995,5.969,5.9879999999999995,139
5.99,5.995,5.987,5.992,39
5.994,5.994,5.973,5.974,61
5.973,5.985,5.9719999999999995,5.973,34
5.9719999999999995,5.973,5.9619,5.966,63
5.964,5.969,5.96,5.9619,32
5.961,5.9619,5.952,5.955,41
5.954,5.964,5.952,5.958,24
5.955,5.965,5.952,5.955,11
5.9559999999999995,5.961,5.955,5.955,4
5.959,5.963,5.9559999999999995,5.96,17
5.963,5.964,5.96,5.964,5
5.963,5.973,5.963,5.969,23
5.968,5.974,5.968,5.974,6
5.973,5.98,5.969,5.979,15
5.978,5.982,5.974,5.98,31
5.981,6.001,5.98,5.9879999999999995,122
5.989,6.022,5.9879999999999995,6.013,142
6.014,6.022,6.012,6.018,97
6.015,6.057,6.014,6.038,243
6.039,6.05,6.0319,6.043,109
6.042,6.065,6.033,6.035,187
6.036,6.0609,6.036,6.0609,142
6.06,6.064,6.043,6.045,153
6.043,6.046,6.027,6.033,146
6.0319,6.039,6.029,6.031,59
