open,high,low,close
1275.06,1276.56,1273.81,1273.81
1273.86,1274.58,1272.98,1273.66
1273.66,1275.64,1273.56,1275.64
1275.6,1276.21,1274.55,1275.81
1275.81,1276.04,1272.46,1272.76
1272.76,1275.46,1272.54,1274.83
1274.83,1276.62,1274.46,1275.22
1275.22,1283.56,1275.15,1281.14
1281.14,1282.76,1279.87,1281.51
1281.51,1285.36,1281.32,1283.82
1283.82,1286.76,1283.72,1286.33
1286.15,1286.65,1284.7,1285.14
1285.14,1286.62,1284.63,1286.52
1286.52,1286.84,1285.39,1286.51
1286.42,1287.2,1286.21,1287.17
1287.17,1287.27,1285.98,1286.74
1286.74,1287.1,1285.9,1286.88
1286.96,1287.47,1285.17,1287.43
1287.43,1287.98,1286.47,1287.46
1287.46,1287.86,1286.42,1287.18
1287.18,1287.94,1286.55,1286.59
1286.59,1286.69,1285.18,1285.18
1285.18,1286.11,1285.18,1285.74
1285.74,1286.08,1285.6,1286.01
1286.01,1286.54,1286.01,1286.23
1286.23,1286.28,1284.84,1284.93
1284.93,1285.1,1283.92,1284.96
1284.96,1285.39,1283.93,1284.87
1284.87,1285.11,1283.81,1284.08
1284.08,1285.67,1283.88,1285.28
1285.36,1285.91,1284.78,1285.53
1285.53,1287.33,1285.33,1286.21
1286.13,1286.28,1285.59,1286.08
1286.08,1287.09,1286.08,1286.97
1286.97,1287.99,1286.35,1287.83
1287.83,1288.6,1287.33,1287.43
1287.43,1287.79,1287.2,1287.27
1287.27,1288.25,1286.69,1286.69
1286.69,1287.38,1285.72,1286.92
1286.92,1287.22,1285.59,1286.68
1286.64,1287.68,1285.65,1287.16
1287.12,1287.91,1286.51,1286.98
1286.98,1287.92,1282.03,1284.03
1284.03,1284.03,1281.78,1283.19
1283.19,1285.5,1282.57,1284.22
1284.2,1285.7,1283.8,1284.68
1284.68,1285.06,1283.74,1284.05
1284.05,1286.0,1283.98,1285.2
1285.2,1287.56,1284.8,1286.56
1286.56,1288.14,1286.2,1286.54
1286.54,1287.5,1285.6,1287.22
1287.22,1287.4,1286.28,1286.91
1286.91,1287.9,1286.49,1286.86
1286.82,1287.02,1286.3,1287.01
1287.01,1288.18,1286.6,1287.99
1287.9,1287.98,1286.96,1287.2
1287.2,1288.36,1287.16,1287.32
1289.18,1294.51,1289.18,1294.29
1294.29,1294.29,1292.95,1293.45
1293.45,1294.78,1293.19,1294.74
1294.74,1295.52,1294.28,1294.62
1294.54,1295.01,1293.76,1293.98
1294.02,1294.94,1293.87,1294.26
1294.26,1294.54,1290.9,1291.95
1291.95,1292.84,1291.74,1292.54
1292.44,1292.8,1291.19,1291.19
1291.09,1291.4,1290.5,1291.08
1291.08,1291.71,1290.69,1291.41
1291.51,1291.56,1290.38,1290.89
1290.89,1291.02,1290.52,1290.81
1290.81,1291.84,1290.81,1291.84
1291.84,1292.04,1291.22,1291.3
1291.22,1291.45,1287.19,1288.18
1288.18,1288.18,1286.68,1287.41
1287.41,1288.0,1287.29,1287.75
1287.65,1289.67,1287.63,1289.26
1289.26,1289.46,1288.76,1288.96
1288.96,1289.46,1288.82,1289.07
1289.07,1289.38,1288.87,1289.25
